NOR;ICE;E_SCOT;W_SCOT;ENG;GER;IRE;DEN;NEL;WNA
NOR;0;2244.36895536305;2383.70116693711;2363.23949364952;2686.95875023654;2606.81578884631;3010.56046808293;2554.07026873715;2964.62053951966;4910.07947557749
ICE;2244.36895536304;0;1525.87387835367;1157.66229898712;1868.10139735552;2153.92121007367;1456.33124266439;2111.13538422173;2234.92037272828;3094.19991087701
E_SCOT;2383.70116693711;1525.87387835367;0;543.335318712431;355.741377828857;766.142302452904;1166.42753633489;726.54631331654;729.244113795692;4191.47137568195
W_SCOT;2363.23949364952;1157.66229898712;543.335318712431;0;885.562837714282;1235.29312289485;656.378323290309;1194.85682773883;1252.38181308704;3709.4534626873
ENG;2686.95875023654;1868.10139735552;355.741377828857;885.562837714282;0;596.125255873635;1508.65505533674;616.355360376001;417.172469222619;4533.69889468381
GER;2606.81578884631;2153.92121007366;766.142302452906;1235.29312289485;596.125255873636;0;1809.56410054891;57.3872473936761;560.34890690587;4883.42917986438
IRE;3010.56046808293;1456.33124266439;1166.42753633489;656.378323290309;1508.65505533674;1809.56410054891;0;1817.94904536129;1294.16698668862;3526.48574112592
DEN;2554.07026873715;2111.13538422172;726.546313316541;1194.85682773883;616.355360376;57.3872473936761;1817.9490453613;0;585.533789747813;4842.99288470837
NEL;2964.62053951966;2234.92037272828;729.244113795692;1252.38181308704;417.172469222619;560.34890690587;1294.16698668862;585.533789747813;0;4589.01976471617
WNA;4910.07947557745;3094.19991087702;4191.47137568199;3709.4534626873;4533.69889468385;4883.42917986441;3526.48574112592;4842.99288470839;4589.01976471617;0
