POPFINE	Gen_pop	POP	ID	Lat	Long
NS	NS	SCOT	WBD100	57.34450531	-1.938509345
BAS	WSI	BAS	WBD104	76.2	14.31666667
BAS	BAS	BAS	WBD107	77.66666667	10.35
WSI	WSI	SCOT	WBD10	58.59729767	-3.526139021
BAS	BAS	BAS	WBD112	73.45	36.73333333
BAS	BAS	BAS	WBD113	71.25	28.8
BAS	BAS	BAS	WBD116	71.4	33.23333333
BAS	BAS	BAS	WBD118	71.43333333	30.55
BAS	BAS	BAS	WBD119	71.81666667	30.3333333
WSI	NS	SCOT	WBD11	58.07188416	-5.452246666
BAS	BAS	BAS	WBD122	74.23333333	21.6
BAS	BAS	BAS	WBD123	74.25	21.16666667
BAS	BAS	BAS	WBD127	73.05	10.11666667
ICE	ICE	ICE	WBD128	64.57	-23.131
ICE	ICE	ICE	WBD129	64.05	-15.4
NS	WSI	SCOT	WBD12	57.1521225	-2.77656269
ICE	ICE	ICE	WBD130	63.58	-22.48
ICE	ICE	ICE	WBD131	63.19	-19.47
ICE	ICE	ICE	WBD132	64.16	-22.23
ICE	ICE	ICE	WBD133	64.19	-22.18
ICE	ICE	ICE	WBD134	63.49	-22.8
ICE	ICE	ICE	WBD135	63.5	-21.25
ICE	ICE	ICE	WBD136	64	-23.0
ICE	ICE	ICE	WBD137	63.5	-21.25
ICE	ICE	ICE	WBD138	63.48	-20.59
ICE	ICE	ICE	WBD139	64.08	-22.47
WSI	WSI	SCOT	WBD13	59.1199913	-3.881567
ICE	ICE	ICE	WBD140	64.2	-22.54
ICE	ICE	ICE	WBD141	63.58	-22.5
ICE	ICE	ICE	WBD142	63.58	-22.47
ICE	ICE	ICE	WBD144	63.51	-21.11
ICE	ICE	ICE	WBD145	63.51	-21.11
WSI	WSI	SCOT	WBD14	58.60188675	-3.357674122
NS	NS	DEN	WBD151	57.75166667	10.62111
NS	NS	DEN	WBD152	57.00666667	8.435278
NS	NS	DEN	WBD153	55.48916667	8.267778
NS	NS	DEN	WBD154	57.745	10.55806
NS	NS	DEN	WBD155	57.0776	9.967683
NS	NS	DEN	WBD156	55.27348833	8.520153
WSI	WSI	IRE	WBD157	52.29	-10.04
WSI	WSI	SCOT	WBD15	59.05299377	-3.337082386
